what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.wst.common.snippets,1.2.0.v201004290255,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1412565531925
activated,view,org.eclipse.wst.common.snippets,1.2.0.v201004290255,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1412565531968
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1412565531991
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412565542231
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412565542500
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412565544501
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412565689269
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412565693702
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412565970618
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412565971065
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566021378
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566022687
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566031011
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566031834
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566040931
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566043658
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566123301
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566124096
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566150601
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566151303
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566261674
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566280290
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566460249
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1412566463041
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566473810
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566493717
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566496705
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566497602
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566508724
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566551385
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412566555062
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566558408
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566586207
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566587629
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566588682
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566589519
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566605221
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566606124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566746289
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1412566747287
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1412566748626
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412566752286
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566752734
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566818598
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412566819834
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412566820027
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566820505
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566847115
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412566848624
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566849137
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566884156
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1412566887210
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412566903753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567131949
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567133666
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567143575
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567145432
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567187836
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412567213867
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412567214216
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567214723
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567274296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567276162
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567287980
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412567289679
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567290167
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567347163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412567351753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568116717
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1412568119495
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1412568123826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412568130524
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1412568143160
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568152757
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568381807
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1412568383910
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568391406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568491962
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1412568505133
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568516777
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568547164
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412568630946
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1412568635771
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1412568649255
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412568655240
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1412568656570
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568666128
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568695999
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568700400
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568811685
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1412568813533
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1412568824681
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1412568831541
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568832836
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568837579
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1412568840511
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1412568841501
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412568847600
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568850298
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568894264
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1412568895385
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1412568927505
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1412568929961
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1412568931119
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412568934165
