what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500309361
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500320018
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500329319
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500331735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500340454
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500342238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500348276
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500349382
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500402908
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500407218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500408333
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500409000
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500411974
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500447192
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412500453301
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500476008
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412500939246
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412500998611
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412501044437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501059146
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501059293
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501060530
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501075404
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501075924
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501143473
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501146734
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501147192
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501147511
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501275533
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412501281491
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412501355056
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501370240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501529413
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412501575839
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412501579692
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412501584333
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501608398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501759376
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412501766438
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412501808031
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1412501811080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1412501816018
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501822952
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501831809
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501846621
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501853585
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501855481
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501856352
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501859634
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501862108
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1412501875460
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501876115
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501880628
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501893139
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501893275
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412501921319
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1412501922630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501931960
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501932835
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501934354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1412501941296
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412501966214
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1412501967785
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1412501968972
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412501975492
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1412501992922
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1412501996348
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1412502024722
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1412502026593
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1412502034240
